survey_date,block,row,col,pop,mf,rep,height,longest_leaf
2023-01-27,D1,3,A,WL2,4,11,1.3,0.9
2023-01-27,D1,3,B,CP2,10,4,NA,NA
2023-01-27,D1,4,A,YO11,4,10,NA,NA
2023-01-27,D1,4,B,CC,5,12,3.7,2.4
2023-01-27,D1,5,A,FR,3,6,4.1,3.6
2023-01-27,D1,5,B,BH,5,24,3.9,4.2
2023-01-27,D1,6,A,IH,6,12,3.5,4.5
2023-01-27,D1,6,B,CC,3,10,2.3,1.6
2023-01-27,D1,7,A,WL2,1,9,1.7,1.6
2023-01-27,D1,7,B,CP2,8,4,0.5,1.2
2023-01-27,D1,8,A,LV3,7,12,1.2,2
2023-01-27,D1,8,B,BH,6,7,2.2,3
2023-01-27,D1,9,A,SC,4,8,3.4,3
2023-01-27,D1,9,B,LVTR1,2,5,1.2,2.1
2023-01-27,D1,10,A,SQ3,4,4,0.3,1.9
2023-01-27,D1,10,B,TM2,2,4,4.8,3
2023-01-27,D1,11,A,WL1,4,10,2.1,2.9
2023-01-27,D1,11,B,BH,7,4,3.7,3
2023-01-27,D1,12,A,CC,7,4,4.1,2.5
2023-01-27,D1,12,B,TM2,5,9,6.1,3.7
2023-01-27,D1,13,A,CP2,5,8,1,2
2023-01-27,D1,13,B,WL1,1,3,2.2,2.4
2023-01-27,D1,14,A,WL1,3,6,2.7,4
2023-01-27,D1,14,B,YO7,4,7,1,1.5
2023-01-27,D1,15,A,IH,4,18,3,2.8
2023-01-27,D1,15,B,WL1,2,14,2,2.1
2023-01-27,D1,16,A,WL1,7,1,NA,NA
2023-01-27,D1,16,B,TM2,5,3,7,2.4
2023-01-27,D1,17,A,DPR,6,4,4.1,3.5
2023-01-27,D1,17,B,WL1,7,15,2.8,2.5
2023-01-27,D1,18,A,SC,6,10,3.5,2.5
2023-01-27,D1,18,B,IH,4,10,5.5,2.5
2023-01-27,D1,19,A,SQ2,6,2,0.2,1.3
