survey_date,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,survey.notes
7/3/2023,NA,CP2_7_3,CP2_7,CP2,7,3,1.5,1.7,KN
7/3/2023,NA,CP2_7_4,CP2_7,CP2,7,4,1.6,1.5,KN
7/3/2023,NA,CP2_7_5,CP2_7,CP2,7,5,1.7,1.6,KN
7/3/2023,NA,CP2_7_6,CP2_7,CP2,7,6,0.8,1.6,KN
7/3/2023,NA,CP2_7_7,CP2_7,CP2,7,7,1.6,1.7,KN
7/3/2023,NA,CP2_7_8,CP2_7,CP2,7,8,0.7,1.4,KN
7/3/2023,NA,CP2_7_9,CP2_7,CP2,7,9,0.8,1.5,KN
7/3/2023,NA,CP2_7_10,CP2_7,CP2,7,10,1.2,1.3,KN
7/3/2023,NA,CP2_7_11,CP2_7,CP2,7,11,0.9,1,KN
7/3/2023,NA,CP2_7_12,CP2_7,CP2,7,12,1.2,1,KN
7/3/2023,NA,CP2_7_13,CP2_7,CP2,7,13,1.3,1.8,KN
7/3/2023,NA,CP3_1_1,CP3_1,CP3,1,1,0.8,0.9,NA
7/3/2023,NA,CP3_1_2,CP3_1,CP3,1,2,1.4,1.3,NA
7/3/2023,NA,CP3_1_3,CP3_1,CP3,1,3,1.3,1.7,NA
7/3/2023,NA,CP3_1_4,CP3_1,CP3,1,4,1.4,1.6,NA
7/3/2023,NA,CP3_1_5,CP3_1,CP3,1,5,1.2,1.3,NA
7/3/2023,NA,CP3_1_6,CP3_1,CP3,1,6,0.9,1.5,NA
7/3/2023,NA,CP3_1_7,CP3_1,CP3,1,7,1,1.5,NA
7/3/2023,NA,CP3_1_8,CP3_1,CP3,1,8,0.9,1.8,NA
7/3/2023,NA,CP3_1_9,CP3_1,CP3,1,9,1.2,1.6,NA
7/3/2023,NA,CP3_1_10,CP3_1,CP3,1,10,1.1,0.9,NA
7/3/2023,NA,CP3_1_11,CP3_1,CP3,1,11,1,0.8,NA
7/3/2023,NA,CP3_1_12,CP3_1,CP3,1,12,1.2,1.7,NA
7/3/2023,NA,CP3_1_13,CP3_1,CP3,1,13,1.4,0.9,NA
7/3/2023,NA,CP3_2_1,CP3_2,CP3,2,1,0.7,1.3,NA
7/3/2023,NA,CP3_2_2,CP3_2,CP3,2,2,1,1.2,NA
7/3/2023,NA,CP3_2_3,CP3_2,CP3,2,3,1.1,1.5,NA
7/3/2023,NA,CP3_2_4,CP3_2,CP3,2,4,0.9,1.5,NA
7/3/2023,NA,CP3_2_5,CP3_2,CP3,2,5,0.7,1.1,NA
7/3/2023,NA,CP3_2_6,CP3_2,CP3,2,6,0.5,1.1,NA
7/3/2023,NA,CP3_2_7,CP3_2,CP3,2,7,0.8,1.2,NA
7/3/2023,NA,CP3_2_8,CP3_2,CP3,2,8,1,1.4,NA
7/3/2023,NA,CP3_2_9,CP3_2,CP3,2,9,0.5,1.5,NA
7/3/2023,NA,CP3_2_10,CP3_2,CP3,2,10,0.8,1.4,NA
7/3/2023,NA,CP3_2_11,CP3_2,CP3,2,11,1,1.7,NA
7/3/2023,NA,CP3_2_12,CP3_2,CP3,2,12,0.6,1.6,NA
7/3/2023,NA,CP3_3_1,CP3_3,CP3,3,1,0.5,2.4,NA
7/3/2023,NA,CP3_3_2,CP3_3,CP3,3,2,1.3,1.5,NA
7/3/2023,NA,CP3_3_3,CP3_3,CP3,3,3,1.1,1.6,NA
7/3/2023,NA,CP3_3_4,CP3_3,CP3,3,4,1.4,1.3,NA
7/3/2023,NA,CP3_3_5,CP3_3,CP3,3,5,1.6,1.5,NA
7/3/2023,NA,CP3_3_6,CP3_3,CP3,3,6,1,1.5,NA
7/3/2023,NA,CP3_3_7,CP3_3,CP3,3,7,1.9,0.8,NA
7/3/2023,NA,CP3_3_8,CP3_3,CP3,3,8,1,1,NA
7/3/2023,NA,CP3_3_9,CP3_3,CP3,3,9,1.1,1.4,NA
7/3/2023,NA,CP3_3_10,CP3_3,CP3,3,10,1,0.7,NA
7/3/2023,NA,CP3_3_11,CP3_3,CP3,3,11,1.2,1.2,NA
7/3/2023,NA,CP3_3_12,CP3_3,CP3,3,12,1.3,1.5,NA
7/3/2023,NA,CP3_3_13,CP3_3,CP3,3,13,1.1,0.9,NA
7/3/2023,NA,CP3_4_1,CP3_4,CP3,4,1,1,1.2,NA
7/3/2023,NA,CP3_4_2,CP3_4,CP3,4,2,1.1,1.2,NA
7/3/2023,NA,CP3_4_3,CP3_4,CP3,4,3,1.2,1.6,NA
