block ,bed ,bed-row ,bed-col ,pop ,mf ,rep ,height.cm ,long.leaf.cm ,herbiv.y.n ,survey-notes 
B ,A ,44,A ,DPR ,1,9,,,,Dead 
B ,A ,44,B ,LV1 ,2,3,,,,Dead 
B ,A ,45,A ,CP3 ,5,10,,,,Dead 
B ,A ,45,B ,IH ,2,4,13.2,6,Y ,
B ,A ,46,A ,CP3 ,4,10,1.5,1,Y ,
B ,A ,46,B ,TM2 ,3,11,23.6,4.4,Y ,
B ,A ,47,A ,SQ3 ,5,4,1.2,N/A ,Y ,no leaves 
B ,A ,47,B ,YO11 ,6,14,,,,Dead 
B ,A ,48,A ,CC ,2,4,,,,Dead 
B ,A ,48,B ,YO8 ,2,13,,,,Dead 
B ,A ,49,A ,YO7 ,7,23,3.3,1.3,Y ,
B ,A ,49,B ,DPR ,8,19,,,,Dead 
B ,A ,50,A ,SQ3 ,3,2,1.5,N/A ,Y ,no leaves 
B ,A ,50,B ,LV1 ,6,3,,,,Dead 
B ,A ,51,A ,LV1 ,5,3,,,,Dead 
B ,A ,51,B ,CP2 ,7,9,,,,Dead 
B ,A ,52,A ,LV3 ,6,9,,,,Dead 
B ,A ,52,B ,WL1 ,7,6,1.6,0.5,Y ,
B ,A ,53,A ,CC ,4,4,10.4,3.3,Y ,
B ,A ,53,B ,BH ,7,4,6.4,3.8,Y ,
B ,A ,54,A ,YO8 ,6,4,,,,Dead 
B ,A ,54,B ,FR ,7,4,,,,Dead 
B ,A ,55,A ,SQ2 ,6,24,,,,Dead 
B ,A ,55,B ,LV1 ,8,3,,,,Dead 
B ,A ,56,A ,SQ2 ,8,10,3.2,0.8,Y ,
B ,A ,56,B ,TM2 ,2,12,22.4,1,Y ,
B ,A ,57,A ,YO11 ,7,10,,,,Dead 
B ,A ,57,B ,YO11 ,6,10,,,,Dead 
B ,A ,58,A ,YO8 ,1,13,3.2,1.2,Y ,
B ,A ,58,B ,LVTR1 ,6,2,,,,Dead 
B ,A ,59,A ,WL2 ,5,10,6.2,1.3,Y ,
B ,A ,59,B ,WL1* ,buffer ,buffer ,,,,
B ,A ,60,A ,WL1* ,buffer ,buffer ,,,,
A ,A ,1,C ,SC ,5,15,,,,
A ,A ,1,D ,DPR ,6,2,,,,
A ,A ,2,C ,CP2 ,2,1,,,,
A ,A ,2,D ,WL2 ,1,9,,,,
A ,A ,3,C ,CP3 ,4,9,,,,
A ,A ,3,D ,LV1 ,5,2,,,,
A ,A ,4,C ,IH ,4,3,,,,
A ,A ,4,D ,SQ2 ,6,9,,,,
A ,A ,5,C ,LV3 ,5,12,,,,
A ,A ,5,D ,TM2 ,2,2,,,,
A ,A ,6,C ,YO8 ,6,3,,,,
A ,A ,6,D ,WL2 ,6,9,,,,
A ,A ,7,C ,WL2 ,5,9,,,,
A ,A ,7,D ,BH ,1,3,,,,
A ,A ,8,C ,LV1 ,4,2,,,,
A ,A ,8,D ,TM2 ,7,8,,,,
A ,A ,9,C ,CC ,4,3,,,,
A ,A ,9,D ,SQ3 ,6,6,,,,
A ,A ,10,C ,LVTR1 ,5,4,,,,
A ,A ,10,D ,CP3 ,1,8,,,,
A ,A ,11,C ,IH ,2,3,,,,
A ,A ,11,D ,WR ,2,7,,,,
A ,A ,12,C ,LV1 ,3,2,,,,
A ,A ,12,D ,YO7 ,2,2,,,,
A ,A ,13,C ,YO11 ,6,9,,,,
A ,A ,13,D ,SQ1 ,6,10,,,,
A ,A ,14,C ,IH ,7,3,,,,
A ,A ,14,D ,CC ,8,3,8.3,3,Y ,
A ,A ,15,C ,CC ,1,3,5.7,4.1,Y ,
A ,A ,15,D ,WL2 ,2,9,,,,
A ,A ,16,C ,YO4 ,2,4,,,,
A ,A ,16,D ,SC ,2,3,,,,
A ,A ,17,C ,LV1 ,2,2,,,,
A ,A ,17,D ,BH ,2,3,8.2,4.8,Y ,
A ,A ,18,C ,CP2 ,1,1,,,,
A ,A ,18,D ,YO7 ,4,2,,,,no plant 
A ,A ,19,C ,CP3 ,3,9,1.3,,Y ,resprout leaf small 
A ,A ,19,D ,SQ3 ,2,13,,,,
A ,A ,20,C ,YO11 ,1,9,0.8,,Y ,bare stem 
A ,A ,20,D ,LV1 ,8,2,,,,
A ,A ,21,C ,SQ1 ,2,5,,,,
A ,A ,21,D ,IH ,3,3,7.1,0.9,Y ,
A ,A ,22,C ,LVTR1 ,6,1,,,,
A ,A ,22,D ,SC ,8,3,4.4,4.3,Y ,
A ,A ,23,C ,LV1 ,1,2,,,,
A ,A ,23,D ,TM2 ,3,3,22.2,1.1,Y ,
A ,A ,24,C ,SC ,5,3,,,,
A ,A ,24,D ,DPR ,8,12,,,,
A ,A ,25,C ,SC ,2,25,,,,
A ,A ,25,D ,CP3 ,7,10,,,,
A ,A ,26,C ,WL1 ,7,5,,,,
A ,A ,26,D ,YO7 ,6,12,,,,
A ,A ,27,C ,YO7 ,7,18,,,,
A ,A ,27,D ,YO4 ,5,1,2.8,,Y ,bare stem 
A ,A ,28,C ,SC ,4,3,,,,
A ,A ,28,D ,TM2 ,5,4,,,,
A ,A ,29,C ,CP2 ,7,8,,,,
A ,A ,29,D ,YO8 ,5,3,,,,
A ,A ,30,C ,FR ,2,2,,,,
A ,A ,30,D ,NA ,NA ,NA ,,,,
A ,A ,31,C ,YO7 ,6,17,,,,
A ,A ,31,D ,IH ,1,3,,,,
B ,A ,32,C ,SC ,5,4,,,,
B ,A ,32,D ,YO8 ,5,4,,,,
B ,A ,33,C ,SQ1 ,14,10,,,,
B ,A ,33,D ,CP3 ,2,4,1.5,0.4,Y ,
B ,A ,34,C ,DPR ,1,14,,,,
B ,A ,34,D ,SQ2 ,6,10,,,,
B ,A ,35,C ,CP2 ,4,2,,,,
B ,A ,35,D ,CP3 ,7,13,,,,
B ,A ,36,C ,SC ,2,4,5.9,3.2,Y ,
B ,A ,36,D ,LV1 ,3,3,,,,
B ,A ,37,C ,WL1 ,9,3,,,,
B ,A ,37,D ,BH ,1,4,2.2,3.4,Y ,
B ,A ,38,C ,CP3 ,6,10,,,,
B ,A ,38,D ,LVTR1 ,5,6,,,,
B ,A ,39,C ,WL2 ,1,10,,,,
B ,A ,39,D ,LV1 ,4,3,,,,
B ,A ,40,C ,YO7 ,6,13,,,,
B ,A ,40,D ,WL2 ,2,10,4.9,0.7,Y ,resprout 
B ,A ,41,C ,TM2 ,7,9,,,,
B ,A ,41,D ,LV3 ,5,13,,,,
B ,A ,42,C ,NA ,NA ,NA ,,,,
B ,A ,42,D ,NA ,NA ,NA ,,,,
B ,A ,43,C ,CP2 ,2,2,,,,
B ,A ,43,D ,FR ,5,10,1.1,,Y ,bare stem 
B ,A ,44,C ,TM2 ,6,3,38.7,0.9,Y ,
B ,A ,44,D ,BH ,6,4,5.2,2.6,Y ,resprout 
B,A ,45,C ,YO4 ,2,5,,,,
B ,A ,45,D ,SC ,4,4,7.2,4.7,Y ,looks great 
B ,A ,46,C ,CP3 ,1,9,,,,
B ,A ,46,D ,SQ1 ,5,10,3.3,3.2,Y ,
B ,A ,47,C ,LVTR1 ,8,24,,,,
B ,A ,47,D ,CC ,1,4,,,,
B ,A ,48,C ,CP2 ,3,14,0.8,,Y ,bare stem 
B,A ,48,D ,CC ,8,4,14.8,3.9,Y ,
B ,A ,49,C ,CC ,9,4,10.7,3.4,Y ,
B ,A ,49,D ,CP2 ,1,2,,,,
B ,A ,50,C ,SQ2 ,4,13,,,,
B ,A ,50,D ,IH ,6,4,5.6,4,Y ,
B ,A ,51,C ,SQ2 ,1,8,,,,
B ,A ,51,D ,SC ,6,4,,,,
B,A ,52,C ,YO11 ,8,10,,,,
B ,A ,52,D ,YO8 ,4,5,,,,
B ,A ,53,C ,YO4 ,6,11,1,,Y ,bare stem 
B ,A ,53,D ,WR ,2,23,,,,
B ,A ,54,C ,LV1 ,1,3,,,,
B ,A ,54,D ,YO11 ,5,10,,,,
B ,A ,55,C ,YO7 ,5,12,,,,
B,A ,55,D ,YO4 ,3,7,,,,
B ,A ,56,C ,IH ,1,4,11.5,5.1,Y ,
B ,A ,56,D ,CC ,3,4,14.2,3.9,Y ,
B ,A ,57,C ,CC ,5,4,11.2,4.6,Y ,
B ,A ,57,D ,YO11 ,4,13,1.9,1.1,Y ,
B ,A ,58,C ,LVTR1 ,8,5,,,,
B ,A ,58,D ,YO7 ,7,13,2.1,1.8,Y ,
B ,A ,59,C ,WL1* ,buffer ,buffer ,,,,
B ,A ,59,D ,WL1* ,buffer ,buffer ,,,,
B ,A ,60,C ,NA ,NA ,NA ,,,,
D ,B ,1,A ,NA ,NA ,NA ,,,,
D ,B ,1,B ,NA ,NA ,NA ,,,,
D ,B ,2,A ,NA ,NA ,NA ,,,,
D ,B ,2,B ,NA ,NA ,NA ,,,,
D ,B ,3,A ,NA ,NA ,NA ,,,,
D ,B ,3,B ,NA ,NA ,NA ,,,,
D ,B ,4,A ,CP3 ,6,12,,,,Dead 
D ,B ,4,B ,BH ,5,6,,,,Dead 
